order_size,mean,median,min,max
Small,39.068186274509806,12.830000000000002,0.38999999999999996,3352.93
Medium,15.486414300736067,10.2,0.71,240.58999999999983
Large,10.777625218914185,8.210000000000015,0.36,139.69999999999985
