description,total_sales_dollars,profit_margin,gross_profit
Salmon & Trout Bordeaux Blnc,89.80000000000001,66.92650334075724,60.10000000000001
Ch Rauzan Segla Margaux 09,319.98,66.66666666666667,213.32000000000002
Santa Rita Organic Svgn Bl,9.99,66.46646646646647,6.640000000000001
Sbragia Home Ranch Merlot,549.75,66.44474761255115,365.28
Camila Malbec,234.96,66.24106230847804,155.64000000000001
Anarkos Puglia,299.76,66.21297037630104,198.48
C Monaci Kreos Rosato,395.78,66.20344635908837,262.02
Debauchery Pnt Nr,11.58,65.97582037996547,7.640000000000001
Samos High Peaks Muscat,160.86,65.53524804177546,105.42000000000002
Flag Hill Heritage Rd NH,49.96,65.5324259407526,32.74
R Stemmler Carneros Pnt Nr E,73.98,65.5177074885104,48.47
Jean Luc Colombo Ruchets 07,159.98,65.51443930491311,104.80999999999999
Louis Jadot Chmble-Musgny 11,99.98,65.5131026205241,65.5
Viu Manent Cab Svgn La Capil,167.88,65.51107934238742,109.97999999999999
Dom Piquemal Cotes du Roussi,359.76,65.51034022681789,235.68
Three Olives Tomato Vodka,314.78999999999996,65.24667238476444,205.38999999999996
McCormick Cherry Vodka,188.73,65.07709426164362,122.82
