description,total_sales_dollars
Jack Daniels No 7 Black,7964746.759999814
Tito's Handmade Vodka,7399657.579999865
Grey Goose Vodka,7209608.059999822
Capt Morgan Spiced Rum,6356320.619999902
Absolut 80 Proof,6244752.029999888
Jameson Irish Whiskey,5715759.689999862
Ketel One Vodka,5070083.559999886
Baileys Irish Cream,4150122.0699999463
Kahlua,3604858.659999963
Tanqueray,3456697.8999999193
